107;Ai sensi della L. n. 190/2012, in materia di autorizzazioni allo svolgimento di incarichi esterni da parte dei dirigenti amministrativi dello Stato e degli enti pubblici nazionali:;la Commissione per la valutazione, la trasparenza e l'integrità delle amministrazioni pubbliche esprime pareri facoltativi.;la Commissione per la valutazione, la trasparenza e l'integrità delle amministrazioni pubbliche esprime pareri obbligatori.;la Commissione per la valutazione, la trasparenza e l'integrità delle pubbliche amministrazioni non esprime pareri.;la Commissione per la valutazione, la trasparenza e l'integrità delle amministrazioni pubbliche emana direttive obbligatorie.;
108;Con riferimento a quanto disposto dalla L. n. 190/2012, la vigilanza e il controllo sull'effettiva applicazione e sull'efficacia delle misure adottate dalle pubbliche amministrazioni è esercitata da:;Commissione per la valutazione, la trasparenza e l'integrità delle amministrazioni.;Dipartimento della funzione pubblica.;Ministero per la pubblica amministrazione.;ANAC.;
109;Il Piano nazionale anticorruzione, secondo quanto disposto dalla L. n. 190/2012:;ha durata triennale ed è aggiornato annualmente.;ha durata triennale ed è aggiornato ogni due anni.;ha durata triennale ed è aggiornato ogni 18 mesi.;ha durata triennale ed è aggiornato ogni 6 mesi.;
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4;
110;Il contenuto necessario dei documenti di programmazione strategico gestionale e del Piano triennale per la prevenzione della corruzione è definito dalla L. n. 190/2012 quale:;la definizione degli obiettivi strategici in materia di prevenzione della corruzione e trasparenza.;la valutazione del diverso livello di esposizione degli uffici al rischio di corruzione.;l'indicazione degli interventi organizzativi volti a prevenire il rischio di corruzione.;la definizione dei modelli standard delle informazioni e dei dati occorrenti.;
111;Con riferimento alla L. n. 190/2012 il Responsabile della prevenzione della corruzione e della trasparenza, relativamente ai dipendenti inadempienti rispetto agli obblighi anticorruzione:;indica agli uffici competenti all'esercizio dell'azione disciplinare i nominativi.;esercita direttamente l'azione disciplinare.;indica all'ANAC i nominativi per l'esercizio dei poteri disciplinari.;esercita l'azione disciplinare, previo parere obbligatorio del dipartimento per la valutazione degli illeciti disciplinari.;
112;Le stazioni appaltanti possono prevedere negli avvisi, bandi di gara o lettere di invito che il mancato rispetto delle clausole contenute nei protocolli di legalità o nei patti di integrità costituisce, visti gli articoli della L. n. 190/2012:;causa di esclusione dalla gara.;causa di sospensione dalla gara fino alla rimozione delle irregolarità.;causa di annullamento dell'aggiudicazione della gara.;causa di nullità dell'aggiudicazione.;
113;Le pubbliche amministrazioni non devono assicurare i livelli essenziali delle prestazioni concernenti i diritti sociali e civili, come prescritto dall'art. 1, comma 16 L. n. 190/2012, in riferimento a:;personale da inserire nei programmi di formazione.;scelta del contraente per l'affidamento di lavori, forniture e servizi, anche con riferimento alla modalità di selezione.;concorsi e prove selettive per l'assunzione del personale e progressioni di carriera.;concessione ed erogazione di sovvenzioni, contributi, sussidi, ausili finanziari.;
114;Ai magistrati ordinari, amministrativi, contabili e militari, tra gli altri, è vietata la partecipazione a collegi arbitrali o l'assunzione di incarico di arbitro unico come previsto dalla L. n. 190/2012:;pena la decadenza dagli incarichi e la nullità degli atti compiuti.;a pena di inammissibilità degli atti compiuti fino al mantenimento della partecipazione.;a pena di irregolarità degli incarichi e inammissibilità degli atti compiuti fino al mantenimento della partecipazione.;a pena di nullità degli atti compiuti fino al mantenimento della partecipazione.;
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4;
115;Ai fini della presente L. n. 190/2012, la trasparenza dell'attività amministrativa è assicurata mediante la pubblicazione, nei siti web istituzionali delle P.A, delle informazioni relative ai procedimenti amministrativi, secondo criteri di:;facile accessibilità, completezza e semplicità di consultazione, nel rispetto delle disposizioni in materia di segreto di Stato, di segreto d'ufficio e di protezione dei dati personali.;accessibilità, completezza ed efficacia della consultazione, nel rispetto delle disposizioni in materia di segreto di Stato, di segreto d'ufficio e di protezione dei dati personali.;completezza, semplificazione ed efficacia della consultazione, nel rispetto delle disposizioni in materia di segreto di Stato, di segreto d'ufficio e di protezione dei dati personali.;accessibilità, completezza, semplificazione, efficacia e semplicità della consultazione, nel rispetto delle disposizioni in materia di segreto di Stato, di segreto d'ufficio e di protezione dei dati personali.;
116;Eventuali misure discriminatorie nei confronti del Responsabile della prevenzione della corruzione e della trasparenza per motivi collegati allo svolgimento delle sue funzioni, visti gli articoli della L. n. 190/2012:;devono essere segnalate all'ANAC, che può chiedere informazioni all'organo di indirizzo e intervenire.;devono essere bloccate tempestivamente e segnalate all'ANAC per interventi specifici.;devono essere bloccate tempestivamente e segnalate all'ufficio interno preposto.;devono essere segnalate all'ufficio interno predisposto affinché intervenga tempestivamente con poteri autoritativi.;
117;Ai sensi della L. n. 190/2012, per la predisposizione del piano triennale per la prevenzione della corruzione, fornisce il supporto tecnico e informativo agli enti locali:;il prefetto, su richiesta.;il prefetto, nella fase di predisposizione dello stesso.;il questore, su richiesta.;l'ANAC, nella fase di predisposizione dello stesso.;
118;Con riferimento alla L. n. 190/2012 l'Autorità nazionale anticorruzione esercita poteri ispettivi mediante:;richiesta di notizie, informazioni, atti e documenti alle pubbliche amministrazioni.;l'indicazione di obiettivi, tempi e modalità di adozione e attuazione delle misure di contrasto alla corruzione.;l'individuazione di obiettivi strategici in materia di prevenzione della corruzione e trasparenza.;la vigilanza e il controllo sull'effettiva applicazione e sull'efficacia delle misure anticorruzione.;
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4;
119;Il Dipartimento della funzione pubblica, secondo le norme della L. n. 190/2012, esercita l'attività di:;definizione dei modelli standard delle informazioni e dei dati occorrenti per il conseguimento degli obiettivi previsti dalla legge stessa.;vigilanza e il controllo sull'effettiva applicazione e sull'efficacia delle misure adottate dalle pubbliche amministrazioni.;collaborare con i paritetici organismi stranieri, con le organizzazioni regionali ed internazionali competenti.;analizzare le cause e i fattori della corruzione e individua gli interventi che ne possono favorire la prevenzione e il contrasto.;
120;Ai sensi della L. n. 190/2012, sugli atti di direttiva e di indirizzo, nonché sulle circolari del Ministro per la pubblica amministrazione:;la Commissione per la valutazione, la trasparenza e l'integrità delle amministrazioni pubbliche esprime pareri obbligatori.;la Commissione per la valutazione, la trasparenza e l'integrità delle amministrazioni pubbliche esprime pareri facoltativi.;la Commissione per la valutazione, la trasparenza e l'integrità delle pubbliche amministrazioni non esprime pareri.;la Commissione per la valutazione, la trasparenza e l'integrità delle amministrazioni pubbliche emana direttive obbligatorie.;
121;il dirigente responsabile trasmette, con riferimento alla L. n. 190/2012, una relazione recante i risultati dell'attività delle misure di prevenzione previste dal Piano triennale anticorruzione:;entro il 15 dicembre di ogni anno.;ogni 6 mesi.;entro il 31 dicembre di ogni anno.;con cadenza periodica.;
122;Le imprese operanti in settori specifici ex art. 52 della L. n. 190/2012 devono comunicare qualsiasi modifica dell'assetto proprietario e dei propri organi sociali:;pena la cancellazione dall'elenco di fornitori, prestatori di servizi ed esecutori di lavori non soggetti a tentativi di infiltrazione mafiosa.;pena la sospensione per un massimo di 60 giorni dall'elenco di fornitori, prestatori di servizi ed esecutori di lavori non soggetti a tentativi di infiltrazione mafiosa.;pena la sospensione per un massimo di 6 mesi dall'elenco di fornitori, prestatori di servizi ed esecutori di lavori non soggetti a tentativi di infiltrazione mafiosa.;pena la sospensione per un massimo di 3 mesi e successiva dall'elenco di fornitori, prestatori di servizi ed esecutori di lavori non soggetti a tentativi di infiltrazione mafiosa.;
123;Il Piano triennale per la prevenzione della corruzione, viste le disposizioni della L. n. 190/2012, è adottato:;entro il 31 gennaio di ogni anno e trasmesso all'Autorità nazionale anticorruzione.;entro il 31 gennaio di ogni anno e trasmesso al Dipartimento della funzione pubblica.;entro il 31 gennaio di ogni anno e trasmesso all'Autorità nazionale anticorruzione, al Dipartimento della funzione pubblica e al Ministero del lavoro e delle politiche sociali.;entro il 31 gennaio di ogni anno e trasmesso all'Autorità nazionale anticorruzione e al Dipartimento di pubblica sicurezza.;
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4;
124;Le verifiche circa la perdurante insussistenza dei tentativi di infiltrazione mafiosa per la permanenza negli elenchi di fornitori, prestatori di servizi ed esecutori di lavori non soggetti a tentativi di infiltrazione mafiosa ai sensi della L. n. 190/2012 avvengono:;con cadenza periodica.;con cadenza quinquennale.;con cadenza triennale.;con cadenza biennale.;
125;Negli enti locali, il Responsabile della prevenzione della corruzione e della trasparenza è individuato, a norma della Legge n. 190/2012:;nel segretario o nel dirigente apicale, salva diversa e motivata determinazione.;tra i dirigenti di ruolo in servizio, salva diversa e motivata determinazione.;nel dirigente apicale o assessore al bilancio, salva diversa e motivata determinazione.;nel presidente dell'ente locale o nel segretario, salva diversa e motivata determinazione.;
126;Secondo le disposizioni della Legge n. 190/2012, la sanzione disciplinare a carico del Responsabile della prevenzione della corruzione e della trasparenza:;non può essere inferiore alla sospensione dal servizio con privazione della retribuzione da un minimo di un mese ad un massimo di sei mesi.;non può essere superiore alla sospensione dal servizio con privazione della retribuzione da un minimo di un mese ad un massimo di dodici mesi.;non può essere inferiore alla sospensione dal servizio con privazione della retribuzione da un minimo di un mese ad un massimo di dodici mesi.;non può essere superiore alla sospensione dal servizio con privazione della retribuzione da un minimo di un mese ad un massimo di sei mesi.;
127;"Si intende per ""comunicazione"", ai sensi del D. Lgs. 101/2018:";il dare conoscenza dei dati personali a uno o più soggetti determinati diversi dall'interessato.;il dare conoscenza dei dati personali a soggetti indeterminati, in qualunque forma.;il dare conoscenza dei dati personali a soggetti determinati diversi dall'interessato nell'ambito di un contratto o ai fini della conclusione di un contratto.;il dare conoscenza dei dati personali a soggetti determinati diversi dall'interessato i per valutare determinati aspetti personali relativi a una persona.;
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4;
128;I dati personali sono, secondo il Reg. Ue n. 2016/679, trattati:;in modo lecito, corretto e trasparente nei confronti dell'interessato.;in modo corretto, esplicito e legittimo.;adeguato, pertinente e limitato.;esplicito, legittimo, adeguato, pertinente e limitato.;
129;Qualora il trattamento sia basato sul consenso, in conformità al Reg. Ue 2016/679, la revoca può essere:;espressa in qualsiasi momento.;dichiarata per iscritto dopo quattordici giorni dal conferimento del consenso.;espressa per iscritto oppure oralmente dopo quattordici giorni dal conferimento del consenso.;espressa per iscritto dopo trenta giorni dal conferimento del consenso.;
130;Qualora il trattamento di dati personali sia relativo ad un minore di almeno 16 anni, lo stesso in base al Reg. Ue n. 2016/679 è:;lecito anche senza autorizzazione dal titolare della responsabilità genitoriale.;lecito solo con autorizzazione dal titolare della responsabilità genitoriale.;illecito senza autorizzazione dal titolare della responsabilità genitoriale.;nullo senza autorizzazione dal titolare della responsabilità genitoriale.;
