254;Così come disposto dal D.P.R. n.230/2000 e ss.mm.ii., a seguito dell'ordinanza di concessione di liberazione condizionale, il provvedimento con cui vengono stabilite le prescrizioni della libertà vigilata è emesso:;dal Magistrato di sorveglianza.;dalla Questura.;dal Collegio di disciplina dell'istituto.;dal Provveditore regionale dell'Amministrazione penitenziaria.;
255;Così come disposto dal D.P.R. n.230/2000 e ss.mm.ii., a seguito dell'ordinanza di concessione di liberazione condizionale, chi provvede alla redazione del verbale di sottoposizione dell'interessato alle prescrizioni della libertà vigilata?;La Questura territorialmente competente.;Il Prefetto territorialmente competente.;Il Collegio di disciplina dell'istituto.;il Magistrato di sorveglianza.;
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4;
256;"""Il Magistrato di sorveglianza emette il provvedimento con il quale stabilisce le prescrizioni della libertà vigilata"". A norma dell'art. 104 (""Liberazione condizionale"") del D.P.R. n. 230/2000 e ss.mm.ii., tale affermazione è:";corretta.;errata, poiché è il Collegio di disciplina dell'istituto che emette il provvedimento con il quale stabilisce le prescrizioni della libertà vigilata.;errata, poiché è la Questura territorialmente competente che emette il provvedimento con il quale stabilisce le prescrizioni della libertà vigilata.;errata, poiché è il direttore dell'istituto che emette il provvedimento con il quale stabilisce le prescrizioni della libertà vigilata.;
257;"""Il Magistrato di sorveglianza provvede alla redazione del verbale di sottoposizione dell'interessato alle prescrizioni della libertà vigilata."" A norma dell'art. 104 (""Liberazione condizionale"") del D.P.R. n. 230/2000 e ss.mm.ii., tale affermazione è:";errata, poiché è la Questura territorialmente competente che provvede alla redazione del verbale di sottoposizione dell'interessato alle prescrizioni della libertà vigilata.;corretta.;errata, poiché è il Tribunale di sorveglianza che provvede alla redazione del verbale di sottoposizione dell'interessato alle prescrizioni della libertà vigilata.;errata, poiché è il Provveditore regionale dell'Amministrazione penitenziaria territorialmente competente che provvede alla redazione del verbale di sottoposizione dell'interessato alle prescrizioni della libertà vigilata.;
258;Con riferimento agli interventi del servizio sociale nella libertà vigilata, secondo quanto disciplinato dal D.P.R. n. 230/2000 e ss.mm.ii., il Centro di servizio sociale (ora UEPE) territorialmente competente:;riferisce, periodicamente, al Magistrato di sorveglianza.;riferisce, mensilmente, al Tribunale di sorveglianza.;riferisce, periodicamente, al direttore dell'istituto.;riferisce, mensilmente, al Collegio di disciplina dell'istituto.;
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4;
259;A norma dell'art. 108 del D.P.R. n. 230/2000 e ss.mm.ii., il direttore dell'istituto penitenziario e il direttore del Centro di servizio sociale (ora UEPE), quando abbiano notizia di talune delle circostanze che consentono il rinvio dell'esecuzione della pena, ne informano senza ritardo:;il Tribunale di sorveglianza competente e il Magistrato di sorveglianza.;il Tribunale di sorveglianza competente e il Prefetto.;il Tribunale di sorveglianza competente e il Provveditore dell'Amministrazione penitenziaria territorialmente competente.;Esclusivamente il Tribunale di sorveglianza.;
260;Così come disposto dal D.P.R. n. 230/2000 e ss.mm.ii., nelle case circondariali possono essere assegnati:;i condannati alla pena dell'arresto nonché i condannati alla pena della reclusione per un tempo non superiore a cinque anni o con un residuo di pena non superiore a cinque anni.;i condannati alla pena dell'arresto nonché i condannati alla pena della reclusione per un tempo non superiore a due anni o con un residuo di pena non superiore a due anni.;esclusivamente i condannati alla pena della reclusione per un tempo non superiore a tre anni o con un residuo di pena non superiore a tre anni.;i condannati alla pena dell'arresto nonché i condannati alla pena della reclusione per un tempo non superiore a tre anni o con un residuo di pena non superiore a tre anni.;
261;A norma del D.P.R. n. 230/2000 e ss.mm.ii., chi dispone l'assegnazione dei condannati alla pena dell'arresto nelle case circondariali?;Il Provveditore regionale dell'Amministrazione penitenziaria.;Il Magistrato di sorveglianza.;Il Tribunale di sorveglianza.;Il Capo del Dipartimento dell'Amministrazione penitenziaria.;
262;L'accertamento delle condizioni psichiche degli imputati, di cui all'art. 112 del D.P.R. n. 230/2000 e ss.mm.ii., è disposto:;dall'Autorità giudiziaria che procede.;dal Gruppo di Osservazione e Trattamento (G.O.T.).;dal Provveditore regionale dell'Amministrazione penitenziaria.;dal Magistrato di sorveglianza.;
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4;
263;L'accertamento delle condizioni psichiche dei condannati, di cui all'art. 112 del D.P.R. n. 230/2000 e ss.mm.ii., è disposto:;dal Magistrato di sorveglianza.;dal Centro di servizio sociale del luogo in cui ha sede l'istituto.;dal Provveditore regionale dell'Amministrazione penitenziaria.;dal Consiglio di disciplina dell'istituto.;
264;L'accertamento delle condizioni psichiche degli imputati, di cui all'art. 112 del D.P.R. n. 230/2000 e ss.mm.ii., è disposto dall'Autorità giudiziaria che procede…;su segnalazione della direzione dell'istituto o di propria iniziativa.;su segnalazione della Provveditore regionale dell'Amministrazione penitenziaria o di propria iniziativa.;esclusivamente su segnalazione della direzione dell'istituto.;esclusivamente su segnalazione della Provveditore regionale dell'Amministrazione penitenziaria.;
265;A norma del D.P.R. n. 230/2000 e ss.mm.ii., l'attività di ricerca scientifica, svolta dai centri di osservazione, è diretta all'analisi e alla valutazione dei metodi di osservazione e di trattamento ed è coordinata:;dal Dipartimento dell'Amministrazione penitenziaria.;dal Provveditore regionale dell'Amministrazione penitenziaria territorialmente competente.;dal Centro di servizio sociale del luogo in cui ha sede l'istituto.;dall'Istituto Superiore di Sanità.;
266;Secondo la disciplina del D.P.R. n. 230/2000 e ss.mm.ii., i ministri del culto cattolico, diversi dai cappellani, possono, su richiesta di singoli detenuti o internati, accedere all'istituto per attività del loro ministero?;Sì, previa autorizzazione del direttore dell'istituto e accertamento delle proprie qualità.;Sì, previa autorizzazione del Provveditore regionale dell'Amministrazione penitenziaria e accertamento delle proprie qualità.;Sì, previa autorizzazione del Tribunale di sorveglianza e accertamento delle proprie qualità.;No, in nessun caso.;
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4;
267;"""I ministri del culto cattolico, diversi dai cappellani sono autorizzati dal Tribunale di sorveglianza, su richiesta di singoli detenuti o internati, ad accedere all' istituto, per attività del loro ministero, previo accertamento della loro qualità"". Secondo il disposto del D.P.R. n. 230/2000 e ss.mm.ii., tale affermazione è:";errata, poiché l'autorizzazione è fornita dal direttore dell'istituto.;corretta.;errata, poiché l'autorizzazione è fornita dal Magistrato di sorveglianza.;errata, poiché l'autorizzazione è fornita dal Prefetto territorialmente competente.;
268;Nell'ambito del Consiglio di aiuto sociale, così come sancito dal D.P.R. n. 230/2000 e ss.mm.ii., sono organizzati:;servizi di segreteria, di cassa e di archivio.;esclusivamente servizi di segreteria e di cassa.;esclusivamente servizi di segreteria e di archivio.;servizi di segreteria, di sorveglianza, di archivio e di raccolta dati.;
269;A norma del D.P.R. n. 230/2000 e ss.mm.ii., l'autorizzazione che legittima gli assistenti volontari autorizzati a frequentare gli istituti penitenziari allo scopo di partecipare all'opera rivolta al sostegno morale dei detenuti e degli internati, ha durata:;annuale.;semestrale.;trimestrale.;biennale.;
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4;
270;A norma dell'art. 120 del D.P.R. n. 230/2000 e ss.mm.ii., a chi spetta il compito di sospendere l'autorizzazione dell'assistente volontario autorizzato a frequentare l’istituto penitenziario che si è rivelato inidoneo allo svolgimento dei suoi compiti?;Al direttore dell'istituto.;Al Collegio di disciplina dell'istituto.;Al Provveditore regionale o al centro di servizio sociale.;Al Collegio di disciplina o al Consiglio di aiuto sociale.;
271;A norma del D.P.R. n. 230/2000 e ss.mm.ii., quale, tra i seguenti, non è un organo della Cassa delle ammende?;Il Direttore.;Il Presidente.;Il Consiglio di amministrazione.;Il Segretario.;
272;A norma del D.P.R. n. 230/2000 e ss.mm.ii., quale, tra i seguenti, è un organo della Cassa delle ammende?;Il Segretario.;Il Nucleo di Valutazione.;Il Tesoriere.;Il Direttore.;
273;Così come disposto dal D.P.R. n. 230/2000 e ss.mm.ii., quale, tra i seguenti, è un organo della Cassa delle ammende?;Il Consiglio di amministrazione.;La Commissione di valutazione.;Il Collegio dei revisori.;Il Direttore amministrativo.;
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4;
274;Così come disposto dal D.P.R. n. 230/2000 e ss.mm.ii., quale, tra i seguenti organi della Cassa delle Ammende, ordina il pagamento delle spese nei limiti degli stanziamenti di bilancio ed in conformità alle delibere consiliari?;Il Presidente.;Il Consiglio di amministrazione.;Il Segretario.;Il Tesoriere.;
275;Così come disposto dal D.P.R. n. 230/2000 e ss.mm.ii., quale, tra i seguenti organi della Cassa delle Ammende, esercita i poteri di vigilanza sull'andamento amministrativo e contabile della Cassa?;Il Presidente.;Il Consiglio di amministrazione.;Il Segretario.;Il Collegio dei revisori.;
276;Così come disposto dal D.P.R. n. 230/2000 e ss.mm.ii., quale, tra i seguenti organi della Cassa delle Ammende, delibera il bilancio di previsione della Cassa?;Il Consiglio di amministrazione.;Il Presidente.;Il Direttore amministrativo.;Il Tesoriere.;
277;A norma del D.P.R. n. 230/2000 e ss.mm.ii., il Consiglio di amministrazione delibera il bilancio di previsione della Cassa:;entro il mese di novembre di ogni anno.;entro il mese di giugno di ogni anno.;entro il mese di settembre di ogni anno.;entro il mese di aprile di ogni anno.;
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4;
278;A norma del D.P.R. n. 230/2000 e ss.mm.ii., quale, tra i seguenti organi della Cassa delle Ammende, cura la tenuta della contabilità della Cassa, dei libri e delle scritture contabili, nonché della corrispondenza, conservando gli atti ed i documenti?;Il Segretario.;Il Presidente.;Il Consiglio di amministrazione.;Il Direttore.;
279;A norma del D.P.R. n. 230/2000 e ss.mm.ii., quale tra i seguenti organi della Cassa delle Ammende, adempie a tutte le attività amministrative e contabili, necessarie per la stipula dei contratti?;Il Segretario.;Il Presidente.;Il Consiglio di amministrazione.;Il Direttore amministrativo.;
280;Così come disposto dal D.P.R. n. 230/2000 e ss.mm.ii., quale, tra i seguenti organi della Cassa delle Ammende, è consegnatario dei beni mobili ed immobili della Cassa?;Il Segretario.;Il Presidente.;Il Consiglio di amministrazione.;Il Tesoriere.;
281;Secondo quanto disciplinato dal D.P.R. n. 230/2000 e ss.mm.ii. e con specifico agli organi della Cassa delle Ammende, quale, tra le seguenti, non è ricompresa tra le funzioni del Presidente della Cassa?;Redigere annualmente il bilancio di previsione, le relative variazioni, il conto consuntivo e tutti gli altri documenti contabili da sottoporre all'approvazione del Consiglio di amministrazione.;Ordinare il pagamento delle spese nei limiti degli stanziamenti di bilancio ed in conformità alle delibere consiliari.;Esercitare i poteri di vigilanza sull'andamento amministrativo e contabile della Cassa.;Presentare al Consiglio di amministrazione il bilancio preventivo, il conto consuntivo e la situazione patrimoniale della Cassa.;
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4;
282;Secondo quanto disciplinato dal D.P.R. n. 230/2000 e ss.mm.ii. e con specifico agli organi della Cassa delle Ammende, quale, tra le seguenti, è ricompresa tra le funzioni del Consiglio di amministrazione della Cassa?;Deliberare in merito all'accettazione di oblazioni volontarie, donazioni, sovvenzioni, contributi ed altri proventi eventuali.;Eseguire le direttive impartite dal Presidente della Cassa.;Curare l'organizzazione e la gestione delle attività operative della Cassa e di esse rispondere al Presidente della Cassa.;Provvedere direttamente alla riscossione delle entrate della Cassa e al pagamento delle spese delegategli dal Presidente della Cassa.;
283;A norma del D.P.R. n. 230/2000 e ss.mm.ii., la dotazione finanziaria della Cassa delle ammende è costituita:;dal conto depositi e dal conto patrimoniale.;dal conto depositi e dal conto consuntivo.;dal conto capitale e dal conto patrimoniale.;dal conto economico e dal conto patrimoniale.;
284;"A norma del D.P.R. n. 230/2000 e ss.mm.ii., le entrate della Cassa delle ammende si distinguono in entrate correnti ed entrate in conto capitale; le entrate correnti sono costituite tra l'altro:";dalla vendita di beni mobili fuori uso.;dai rimborsi di titoli di proprietà.;dai finanziamenti per acquisizioni patrimoniali.;da lasciti ed oblazioni in denaro con l'onere di investimento.;
285;"A norma del D.P.R. n. 230/2000 e ss.mm.ii., le entrate della Cassa delle ammende si distinguono in entrate correnti ed entrate in conto capitale; le entrate in conto capitale sono costituite tra l'altro:";dai rimborsi di titoli di proprietà.;dagli interessi sui depositi e su titoli.;da entrate eventuali e diverse.;da contributi di enti o privati.;
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4;
286;"Le entrate della Cassa delle ammende, di cui all'art. 128 del D.P.R. n. 230/2000 e ss.mm.ii., si distinguono in entrate correnti ed entrate in conto capitale; le entrate in conto capitale sono costituite tra l'altro:";da finanziamenti per acquisizioni patrimoniali.;da donazioni.;dai depositi costituiti presso la Cassa e ad essa devoluti per disposizione dell'Autorità giudiziaria.;dalle rendite patrimoniali.;
287;Le entrate della Cassa delle ammende, di cui all'art. 128 del D.P.R. n.230/2000 e ss.mm.ii., si distinguono:;in entrate correnti ed entrate in conto capitale.;in entrate patrimoniali e entrate in conto capitale.;in entrate economiche, entrate finanziarie e proventi.;in entrate correnti e proventi.;
288;"Le entrate della Cassa delle ammende, di cui all'art. 128 del D.P.R. n. 230/2000 e ss.mm.ii., si distinguono in entrate correnti ed entrate in conto capitale; le entrate in conto capitale sono costituite da:";"ricavi per vendite di beni immobili ed altri beni fruttiferi; rimborsi di titoli di proprietà; lasciti ed oblazioni in denaro con l'onere di investimento; finanziamenti per acquisizioni patrimoniali.";"ricavi per vendite di beni immobili ed altri beni fruttiferi; interessi sui depositi e su titoli; lasciti ed oblazioni in denaro con l'onere di investimento; finanziamenti per acquisizioni patrimoniali.";"ricavi per vendite di beni immobili ed altri beni fruttiferi; interessi sui depositi e su titoli; lasciti ed oblazioni in denaro con l'onere di investimento; rendite patrimoniali.";"rimborsi di titoli di proprietà; lasciti ed oblazioni in denaro con l'onere di investimento; contributi di enti o privati; finanziamenti per acquisizioni patrimoniali.";
289;A norma del D.P.R. n. 230/2000 e ss.mm.ii., quale, tra i seguenti organi, ha la rappresentanza legale della Cassa delle Ammende?;Il Presidente.;Il Consiglio di amministrazione.;Il Segretario.;Il Direttore Generale.;
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4;
290;Secondo quanto disciplinato dal D.P.R. n. 230/2000 e ss.mm.ii. e con specifico riferimento agli organi della Cassa delle Ammende, quale, tra le seguenti, è ricompresa tra le funzioni del Presidente della Cassa?;Presentare al Consiglio di amministrazione il bilancio preventivo, il conto consuntivo e la situazione patrimoniale della Cassa.;Deliberare l'acquisto, la vendita, l'affitto e la permuta di immobili nonché l'acquisto di beni mobili, beni mobili registrati e attrezzature necessari per il funzionamento della Cassa.;Ratificare i provvedimenti di urgenza adottati dal Consiglio di amministrazione.;Redigere i verbali delle sedute del Consiglio di amministrazione e curarne la conservazione.;
291;Secondo quanto disciplinato dal D.P.R. n. 230/2000 e ss.mm.ii. e con specifico riferimento alle funzioni del Segretario della Cassa, quale, tra le seguenti affermazioni, è corretta?;Il Segretario è consegnatario dei beni mobili ed immobili della Cassa.;Il Segretario partecipa alle sedute del Consiglio di amministrazione senza facoltà di esprimere parere sulle questioni poste all'ordine del giorno.;Il Segretario redige i verbali delle sedute del Consiglio di amministrazione per poi procedere alla trasmissione degli stessi al Presidente che ne cura la conservazione.;Il Segretario ratifica i provvedimenti di urgenza adottati dal Presidente.;
292;Così come disposto dalla L. n. 354/1975 e ss.mm.ii., persone idonee all'assistenza e all'educazione possono frequentare gli istituti penitenziari allo scopo di partecipare all'opera rivolta al sostegno morale dei detenuti e degli internati, previa autorizzazione da parte:;dell'Amministrazione penitenziaria.;del Ministro della Giustizia.;del Tribunale di sorveglianza.;del Prefetto.;
293;A norma del D.P.R. n. 230/2000 e ss.mm.ii., è consentita la cessione di oggetti fra detenuti?;Sì, ma solamente se di modico valore.;Sì, previo consenso del direttore dell’istituto.;Sì, previo consenso del Magistrato di sorveglianza.;No, in nessun caso.;
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4;
294;A norma dell'art 54 della L. n. 354/1975 e ss.mm.ii., per il computo totale del periodo di liberazione anticipata:;è valutato anche il periodo trascorso in stato di custodia cautelare o di detenzione domiciliare.;è valutato anche il periodo trascorso in stato di detenzione domiciliare, ma non quello in stato di custodia cautelare.;è valutato anche il periodo trascorso in stato di custodia cautelare, ma non quello in stato di detenzione domiciliare.;i periodi trascorsi in stato di detenzione domiciliare o custodia cautelare non sono valutati.;
295;In riferimento alla L. n. 354/1975 e ss.mm.ii., le detenute e le internate possono essere ammesse alla cura e all’assistenza all’esterno dei figli di età:;non superiore agli anni dieci.;non superiore agli anni otto.;non superiore agli anni sei.;non superiore agli anni tre.;
296;Secondo quanto disposto dalla L. n. 354/1975 e ss.mm.ii., quale, tra le seguenti figure, non fa parte della Commissione che predispone e modifica il regolamento interno del singolo istituto penitenziario?;Il garante dei diritti dei detenuti.;Il cappellano.;Il medico.;Il Magistrato di sorveglianza.;
297;Relativamente alla disciplina dell’esecuzione delle pene nei confronti dei condannati minorenni, secondo quanto disciplinato dell’art. 6 del D. Lgs. n. 121/2018 e ss.mm.ii., chi dispone la detenzione domiciliare?;Il Tribunale di Sorveglianza.;L’U.E.P.E.;Il Capo del Dipartimento per la Giustizia Minorile e di Comunità.;Il Capo del Dipartimento dell’Amministrazione Penitenziaria.;
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4;
298;A norma dell’art. 39 del D.P.R. n. 230/2000 e ss.mm.ii., le spese inerenti la corrispondenza telefonica sono a carico:;dell’interessato.;dell’istituto penitenziario.;del Dipartimento dell'Amministrazione Penitenziaria.;del destinatario.;
299;A norma del D.P.R. n. 230/2000 e ss.mm.ii., ai detenuti e agli internati:;è consentito usare un apparecchio radio personale.;non è mai consentito utilizzare un personal computer.;è consentito l’utilizzo di un personal computer, per motivi di studio o di lavoro, solamente recandosi in locali appositamente dedicati e sotto il controllo del personale di sorveglianza.;è consentito l’utilizzo di un personal computer previa autorizzazione concessa Magistrato di sorveglianza.;
300;Secondo quanto disciplinato dall'art.104 del D.P.R. n. 230/2000 e ss.mm.ii., in caso di accertata violazione delle prescrizioni, chi trasmette al Tribunale di sorveglianza la proposta di revoca della liberazione condizionale?;Il Magistrato di sorveglianza.;il Provveditore regionale dell'Amministrazione penitenziaria.;Il Consiglio di disciplina dell'istituto.;Il Provveditore regionale dell'Amministrazione penitenziaria, previo parere favorevole del direttore dell'istituto.;
301;Come disciplinato dall’art.10 della L. n. 354/1975 e ss.mm.ii., per giustificati motivi la permanenza all'aperto può essere ridotta fino a due ore al giorno con provvedimento del direttore dell'istituto e, tale provvedimento è comunicato:;al Provveditore regionale dell'Amministrazione Penitenziaria e al Magistrato di sorveglianza.;esclusivamente al Magistrato di sorveglianza.;al Magistrato di sorveglianza e, a seconda della rilevanza della motivazione, al Provveditore regionale dell’Amministrazione Penitenziaria.;è comunicato al Provveditore regionale dell’Amministrazione Penitenziaria e al Capo del dipartimento dell'Amministrazione penitenziaria.;
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4;
302;Così come disposto dalla L. n. 354/1975 e ss.mm.ii., l’assegnazione dei detenuti, per i quali si possano temere sopraffazioni da parte della restante popolazione detenuta, in ragione della sola identità di genere o del solo orientamento sessuale, deve avvenire:;per categorie omogenee, in sezioni distribuite in modo uniforme sul territorio nazionale, previo consenso degli interessati i quali, in caso contrario, saranno assegnati a sezioni ordinarie.;per categorie omogenee, in sezioni distribuite in modo uniforme sul territorio regionale, previo consenso degli interessati i quali, in caso contrario, saranno esclusi dalle attività in comune per un periodo di trenta giorni.;per categorie omogenee, in sezioni distribuite in modo uniforme sul territorio nazionale previo consenso degli interessati i quali, in caso contrario, saranno posti in isolamento.;per categorie omogenee, in sezioni distribuite in modo uniforme sul territorio nazionale, indipendentemente consenso degli interessati.;
303;Ai sensi della L. n.354/1975 e ss.mm.ii., salvo quanto previsto dalla medesima legge, per gli imputati fino alla pronuncia della sentenza di primo grado, chi è competente per i permessi di colloquio e per le autorizzazioni alla corrispondenza telefonica?;L’Autorità giudiziaria che procede.;Il direttore dell’istituto.;Il Consiglio di disciplina dell'istituto.;Il Provveditore regionale dell'Amministrazione penitenziaria.;
304;A norma dell’art.80 del D.P.R. n. 230/2000 e ss.mm.ii., l’esecuzione delle sanzioni disciplinari inflitte può essere condizionalmente sospesa?;Sì, se si presume che il responsabile si asterrà dal commettere ulteriori infrazioni.;No, mai.;Sì, su proposta del Magistrato di sorveglianza.;Sì, previo parere favorevole del direttore dell’istituto.;
305;In accordo con quanto previsto dalla L. n. 354/1975 e ss.mm.ii., particolare cura è dedicata alla formazione culturale e professionale dei detenuti di età inferiore ai:;venticinque anni.;diciotto anni.;ventuno anni.;venti anni.;
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4;
306;Secondo la L. n. 354/1975, e ss.mm.ii., il trattamento rieducativo si basa:;su un criterio di individualizzazione in rapporto alle specifiche condizioni dell’interessato.;sulle risultanze dei colloqui tra l’assistente sociale e i familiari del detenuto.;sulla lettura e sulla conseguente interpretazione della sentenza di condanna.;sul piano di trattamento definito dal Consiglio di disciplina dell'istituto e riportato nel regolamento di istituto.;
307;La remunerazione per ciascuna categoria di detenuti o internati che lavora alle dipendenze dell’Amministrazione Penitenziaria, così come previsto dalla L. n.354/1975 e ss.mm.ii., è stabilita:;in relazione alla quantità e qualità? del lavoro prestato, in misura pari ai due terzi del trattamento economico previsto dai contratti collettivi.;in relazione alla quantità e qualità? del lavoro prestato, in misura pari ad un terzo del trattamento economico previsto dai contratti collettivi.;dal regolamento dell'istituto, in relazione alla quantità e qualità? del lavoro prestato e in misura pari ad un terzo del trattamento economico previsto dai contratti collettivi.;dal Provveditore regionale dell'Amministrazione penitenziaria, in relazione alla quantità e qualità? del lavoro prestato e in misura pari ad un terzo del trattamento economico previsto dai contratti collettivi.;
308;A norma del D.P.R. n. 230/2000 e ss.mm.ii., gli uffici del Consiglio di aiuto sociale sono ubicati:;presso il Tribunale del capoluogo del circondario.;presso ogni istituto penitenziario.;presso il Dipartimento dell’Amministrazione penitenziaria.;presso ciascun Provveditorato regionale.;
309;Ai sensi dell’art.47 della L. n. 354/1975 e ss.mm.ii., quando sussiste un grave pregiudizio derivante dalla protrazione dello stato di detenzione, l’istanza di affidamento in prova al servizio sociale può essere proposta:;al Magistrato di sorveglianza competente in relazione al luogo di detenzione.;al Provveditore regionale competente in relazione al luogo di detenzione.;al direttore dell’istituto.;al Consiglio di disciplina dell’istituto.;
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4;
310;Fatta eccezione per il caso dei condannati minori di età, i permessi premio dei condannati, di cui all’art. 30-ter della L. n. 354/1975 e ss.mm.ii., non possono avere durata superiore ogni volta a:;quindici giorni.;venti giorni.;dieci giorni.;sette giorni.;
311;A norma del D.P.R. n. 230/2000 e ss.mm.ii., quale, tra i seguenti organi, nell'esercizio delle sue funzioni di vigilanza, assume, a mezzo di visite e di colloqui, dirette informazioni sullo svolgimento dei vari servizi dell'istituto e sul trattamento dei detenuti e degli internati?;Il Magistrato di sorveglianza.;Il Prefetto competente in relazione al luogo di detenzione.;Il Consiglio di disciplina dell'istituto.;Il Comandante del reparto.;
312;Ai sensi del D.P.R. n. 230/2000 e ss.mm.ii., i colloqui degli imputati dopo la pronuncia della sentenza di primo grado sono autorizzati:;dal direttore dell'istituto.;dal Magistrato di sorveglianza.;dal Tribunale di sorveglianza.;dal Giudice dell’esecuzione.;
313;Ai sensi del D.P.R. n. 230/2000 e ss.mm.ii., l'ammissione dei condannati e degli internati al lavoro all'esterno diviene esecutiva solo quando il provvedimento sia stato approvato:;dal Magistrato di sorveglianza.;dal Provveditore regionale dell'Amministrazione penitenziaria.;Dal Capo del Dipartimento dell'Amministrazione penitenziaria.;dal Consiglio di disciplina dell’istituto.;
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4;
314;Ai sensi del D.P.R. n. 230/2000 e ss.mm.ii., quale, tra le seguenti affermazioni è errata?;In casi di particolare urgenza, il personale procede di sua iniziativa alla perquisizione, informandone immediatamente il Provveditore regionale, specificando i motivi che hanno determinato l'urgenza.;Per operazioni di perquisizione generale il direttore dell’istituto può avvalersi, in casi eccezionali, della collaborazione di personale appartenente alle Forze di polizia.;Il personale che effettua la perquisizione e quello che vi presenzia deve essere dello stesso sesso del soggetto da perquisire.;La perquisizione può non essere eseguita quando è possibile compiere l'accertamento con strumenti di controllo.;
315;A norma del D.P.R. n. 230/2000 e ss.mm.ii., nella scelta del tipo e delle modalità delle ricompense da concedere ai detenuti e agli internati, si deve tenere conto:;della rilevanza del comportamento nonché della condotta abituale del soggetto.;solamente della condotta abituale del soggetto.;della rilevanza del comportamento nonché della durata della pena detentiva.;della rilevanza del comportamento nonché dell’età anagrafica del soggetto.;
316;Così come specificato dall'art.81 del D.P.R. n. 230/2000 e ss.mm.ii. (“Procedimento disciplinare”), chi contesta l'addebito al detenuto che si è reso colpevole dell’infrazione?;Il direttore dell'istituto, alla presenza del Comandante del reparto di polizia penitenziaria.;L'educatore capo, alla presenza del direttore dell'istituto.;Il Magistrato di sorveglianza, alla presenza del direttore dell'istituto;Il Gruppo di osservazione e trattamento (G.O.T.), alla presenza del direttore dell'istituto.;
317;A norma dell’art. 97 del D.P.R. n. 230/2000 e ss.mm.ii. (“Esecuzione dell'affidamento in prova al servizio sociale”), qualora nel corso della prova venga richiesto che la stessa prosegua in luogo situato in altra giurisdizione, provvede di conseguenza:;il Magistrato di sorveglianza, su dettagliato parere del Centro di servizio sociale (ora UEPE) che segue la prova.;il Provveditore regionale dell'Amministrazione penitenziaria, su dettagliato parere del centro di servizio sociale che segue la prova.;il Tribunale di sorveglianza, su dettagliato parere dell'U.E.P.E. territorialmente competente.;il Magistrato di sorveglianza, su dettagliato parere del Gruppo di osservazione e trattamento (G.O.T.).;
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4;
318;Ai sensi dell’art. 100 del D.P.R. n. 230/2000 e ss.mm.ii., in caso di modifica delle prescrizioni e delle disposizioni relative alla detenzione domiciliare, il magistrato di sorveglianza ne dà notizia, tra l’altro:;al Tribunale di sorveglianza.;al Provveditore regionale.;al Gruppo di osservazione e trattamento.;alla Procura della Repubblica.;
319;Secondo quanto disciplinato dalla L. n. 354/1975 e ss.mm.ii., quale, tra le seguenti affermazioni è corretta?;L’isolamento non preclude l’esercizio del diritto di effettuare colloqui visivi con i soggetti autorizzati.;L’isolamento preclude l’esercizio del diritto di effettuare colloqui visivi con i soggetti autorizzati.;Le modalità di esecuzione dell’isolamento sono specificate con ordinanza del Tribunale di sorveglianza.;Le modalità di esecuzione dell’isolamento sono specificate con ordinanza del Provveditore regionale dell'Amministrazione penitenziaria.;
